Overall Rating,Type Of Traveller,Seat Type,Arrival City,A Country UV,UVA Coordinates,Departure City,D Country UV,UVD Coordinates,Date Flown
1,Couple Leisure,Economy  ,,,,Manchester,United Kingdom,,8/1/2021
1,Couple Leisure,Economy  ,Manchester,United Kingdom,,Aberdeen,United Kingdom,,8/1/2021
1,Family Leisure,Economy  ,,,,,,,7/1/2021
1,Family Leisure,Economy  ,Bucharest,Romania,,Toronto,Canada,,7/1/2021
2,Business,Business  ,Seattle,United States,,Bangalore,India,,6/1/2021
8,Couple Leisure,Business  ,Preveza,Greece,,London,United Kingdom,,6/1/2021
1,Solo Leisure,Economy  ,Sofia,Bulgaria,,London,United Kingdom,,12/1/2020
4,Business,First  ,Mexico City,Mexico,,London,United Kingdom,,1/1/2021
1,Family Leisure,Economy  ,London,United Kingdom,,Maldives,Maldives,,12/1/2020
9,Solo Leisure,Economy  ,,,,Belfast,United Kingdom,,12/1/2020
10,Solo Leisure,Economy  ,London,United Kingdom,,Paris,France,,9/1/2020
3,Family Leisure,Economy  ,London,United Kingdom,,Lahore,Pakistan,,12/1/2020
9,Solo Leisure,Economy  ,London,United Kingdom,,Venice,Italy,,10/1/2020
2,Business,Business  ,Rome,Italy,,Los Angeles,United States,,6/1/2020
1,Couple Leisure,Business  ,San Diego,United States,,Barcelona,Spain,,12/1/2019
1,Couple Leisure,Business  ,Vienna,Austria,,London,United Kingdom,,2/1/2020
1,Solo Leisure,Economy  ,London,United Kingdom,,Budapest,Hungary,,3/1/2020
2,Family Leisure,Economy  ,London,United Kingdom,,Marrakesh,Morocco,,8/1/2019
3,Couple Leisure,Economy  ,Seattle,United States,,,,,3/1/2020
1,Couple Leisure,Economy  ,London,United Kingdom,,Funchal,Portugal,,3/1/2020
1,Solo Leisure,Economy  ,London,United Kingdom,,Madrid,Spain,,3/1/2020
4,Solo Leisure,Economy  ,London,United Kingdom,,Malaga,Spain,,2/1/2020
1,Solo Leisure,Economy  ,Rio de Janeiro,Brazil,,London,United Kingdom,,2/1/2020
8,Couple Leisure,Business  ,Cape Town,South Africa,,Johannesburg,South Africa,,1/1/2020
