Overall Rating,Type Of Traveller,Seat Type,Arrival,A Country V,Departure,D Country V,Date Flown
1,Solo Leisure,Economy  ,London,United Kingdom,Dallas,United States,4/1/2023
1,Business,Economy  ,London,United Kingdom,Madrid,Spain,5/1/2023
1,Solo Leisure,Economy  ,London,United Kingdom,Belfast,United Kingdom,5/1/2023
3,Couple Leisure,Business  ,Atlanta,United States,London,United Kingdom,4/1/2023
1,Couple Leisure,Business  ,,,,,5/1/2023
1,Solo Leisure,Business  ,Sydney,Australia,London,United Kingdom,5/1/2023
1,Solo Leisure,Business  ,,,Faro,Portugal,5/1/2023
1,Business,Economy  ,London,United Kingdom,Barcelona,Spain,5/1/2023
2,Business,Economy  ,New York,United States,London,United Kingdom,4/1/2023
1,Family Leisure,Premium Economy,Bangalore,India,Toronto,Canada,4/1/2023
1,Family Leisure,Economy  ,London,United Kingdom,Denver,United States,2/1/2023
10,Solo Leisure,Premium Economy,London,United Kingdom,Hong Kong,Hong Kong,4/1/2023
1,Family Leisure,Economy  ,London,United Kingdom,Denver,United States,3/1/2023
3,Solo Leisure,Economy  ,Hong Kong,Hong Kong,London,United Kingdom,4/1/2023
4,Business,Business  ,London,United Kingdom,Malaga,Spain,4/1/2023
3,Family Leisure,Economy  ,London,United Kingdom,Santorini,Greece,3/1/2023
1,Solo Leisure,Economy  ,Madrid,Spain,Belfast,United Kingdom,1/1/2023
2,Couple Leisure,Business  ,London,United Kingdom,Venice,Italy,3/1/2023
1,Couple Leisure,Economy  ,Las Vegas,United States,London,United Kingdom,4/1/2023
9,Solo Leisure,Business  ,London,United Kingdom,Faro,Portugal,4/1/2023
5,Couple Leisure,Business  ,London,United Kingdom,Atlanta,United States,4/1/2023
1,Couple Leisure,Economy  ,London,United Kingdom,Copenhagen,Denmark,4/1/2023
7,Couple Leisure,Economy  ,Belfast,United Kingdom,London,United Kingdom,4/1/2023
4,Business,Premium Economy,London,United Kingdom,Hong Kong,Hong Kong,4/1/2023
1,Family Leisure,Economy  ,Mumbai,India,Chicago,United States,4/1/2023
3,Business,Business  ,London,United Kingdom,New York,United States,4/1/2023
9,Solo Leisure,Economy  ,Mumbai,India,London,United Kingdom,3/1/2023
1,Business,Economy  ,Barcelona,Spain,London,United Kingdom,3/1/2023
1,Couple Leisure,Economy  ,Miami,United States,Munich,Germany,3/1/2023
3,Business,Economy  ,New York,United States,London,United Kingdom,3/1/2023
2,Couple Leisure,Economy  ,Cairo,Egypt,London,United Kingdom,3/1/2023
8,Solo Leisure,Premium Economy,Mumbai,India,Nassau,Bahamas,3/1/2023
3,Couple Leisure,First  ,Johannesburg,South Africa,London,United Kingdom,3/1/2023
1,Couple Leisure,Economy  ,Amsterdam,Netherlands,London,United Kingdom,3/1/2023
1,Couple Leisure,Economy  ,,,Belfast City,United Kingdom,3/1/2023
7,Couple Leisure,Economy  ,London,United Kingdom,Dubrovnik,Croatia,3/1/2023
2,Solo Leisure,Economy  ,Zagreb,Croatia,London,United Kingdom,3/1/2023
1,Family Leisure,Economy  ,London,United Kingdom,Munich,Germany,3/1/2023
1,Solo Leisure,Economy  ,Geneva,Switzerland,London,United Kingdom,3/1/2023
1,Family Leisure,Economy  ,Prague,Czech Republic,London,United Kingdom,12/1/2022
1,Business,Economy  ,,,Glasgow,United Kingdom,3/1/2023
8,Business,Economy  ,London,United Kingdom,Stockholm,Sweden,3/1/2023
1,Solo Leisure,Business  ,,,Milan Malpensa,Italy,4/1/2022
2,Solo Leisure,Economy  ,London,United Kingdom,Los Angeles,United States,3/1/2023
10,Solo Leisure,Economy  ,New York,United States,Istanbul,Turkey,3/1/2023
1,Business,Business  ,London,United Kingdom,Cairo,Egypt,1/1/2023
8,Solo Leisure,Economy  ,London,United Kingdom,Singapore,Singapore,2/1/2023
6,Business,Business  ,London,United Kingdom,Dubai,United Arab Emirates,2/1/2023
7,Business,Business  ,Brussels,Belgium,London,United Kingdom,2/1/2023
1,Family Leisure,Economy  ,Lyon,France,London,United Kingdom,2/1/2023
1,Family Leisure,Economy  ,London,United Kingdom,Lyon,France,2/1/2023
4,Couple Leisure,Economy  ,Faro,Portugal,London,United Kingdom,2/1/2023
5,Family Leisure,Economy  ,Oslo,Norway,London,United Kingdom,2/1/2023
1,Solo Leisure,Economy  ,London,United Kingdom,Madrid,Spain,2/1/2023
8,Couple Leisure,Economy  ,Islamabad,Pakistan,London,United Kingdom,2/1/2023
1,Couple Leisure,Economy  ,Edinburgh,United Kingdom,London,United Kingdom,2/1/2023
9,Couple Leisure,Business  ,Mexico City,Mexico,London,United Kingdom,2/1/2023
